name,lat,lon
P-GH55960C_-032_367.2_N086_GW.22,2492.066,2345.8
P-GH56885A_+133_335.4_N54686_GW.23,1986.56,2106.71
P-GH55960B_-152_383.2_N216_GW.21,2451.818,2459.349
VST-GH55960C_+010_336.7_N188_GW.20,2510.938,2307.432
P-EF62649F_-065_360.1_N282_GW.22,1251.016,2477.612
P-EF62649E_-065_348.6_N282_GW.22,1251.016,2477.612
VST-GH55960B_+011_344.6_N187_GW.20,2507.683,2306.173
P-EF62649D_-065_340.1_N282_GW.22,1251.016,2477.612
P-GH56509E_-331_359.5_N134_GW.22,1789.341,2347.181
P-GH55950N_-442_377.1_N182_GW.21,2328.827,2725.51
P-GH55950M_-442_354.1_N182_GW.21,2328.827,2725.51
P-GH55950L_-442_367.1_N182_GW.21,2328.827,2725.51
P-GH55950J_-229_359.3_N170_GW.21,2422.032,2530.384
P-GH55950K_-442_341.6_N182_GW.21,2328.827,2725.51
P-GH55950H_-229_347.3_N170_GW.21,2422.032,2530.384
P-GH55950G_-229_383.3_N170_GW.21,2422.032,2530.384
P-HS0746C_+005_414.7_N030_GW.20,3930.427,6511.12
P-HS0746B_+005_408.2_N030_GW.20,3932.77,6511.558
P-HS0746A_+005_401.7_N030_GW.20,3932.138,6511.104
P-HS0469G_+048_398.5_N165_GW.21,4013.745133,6752.631067
P-HS0469F_+048_390.6_N165_GW.21,4013.745133,6752.631067
P-HS0469E_+048_414.8_N165_GW.21,4013.745133,6752.631067
P-HS0469D_+048_405.9_N165_GW.21,4013.745133,6752.631067
P-HS0469C_+003_415.8_N031_GW.20,4062.081,6756.404
P-HS0469B_+003_409.7_N031_GW.20,4061.843,6755.27
P-CD48830E_-350_407.9_N239_GW.20,3976.614,3544.507
P-HS0469A_+003_403.7_N031_GW.20,4061.563,6754.655
P-GH55078B_-1309_393.1_N332_GW.20,2792.215,3920.49
P-EF62315M_-230_341.1_N172_GW.21,1647.51,2326.508
P-EF62315L_-230_355.1_N172_GW.21,1647.51,2326.508
VST-281_+019_353.2_N77525_GW.22,759.79,2910.49
P-EF62315K_-230_380.1_N172_GW.21,1647.51,2326.508
P-GH56630B_-004_359.3_N077_GW.22,1918.347,2025.486
P-GH56630D_-142_365.0_N076_GW.22,1827.31,2129.58
P-GH56630A_-144_381.1_N151_GW.22,1827.6,2132.61
P-GH55450C_-292_374.1_N181_GW.21,2818.2,2806.269
P-GH55450A_-282_396.4_N181_GW.21,2821.282,2797.288
P-GH56551A_+150_340.3_N262_GW.20,2072.832,1955.919
P-GH56896A_-338_397.4_N047_GW.21,1778.216,2346.391
P-GH55450E_-292_362.1_N181_GW.21,2818.2,2806.269
P-GH55950A_-295_399.2_N043_GW.21,2398.015,2592.478
P-GH55928A_+165_329.2_N267_GW.20,2603.548,2180.061
P-GH55449A_-145_379.2_N251_GW.22,2885.465,2675.829
P-GH55450F_-292_346.1_N181_GW.21,2818.2,2806.269
P-GH55450D_-292_388.1_N181_GW.21,2818.2,2806.269
VST-451_-026_353.3_N161_GW.22,2495.47,2340.684
P-GH55449C_-145_366.2_N251_GW.22,2885.465,2675.829
P-GH55449B_-145_348.2_N251_GW.22,2885.465,2675.829
P-GH55950B_-442_395.9_N042_GW.21,2328.824,2725.223
P-GH55928B_+165_338.2_N267_GW.20,2603.548,2180.061
